[22:52:11] [main/INFO]: ModLauncher running: args [--username, Mirakuru_Myuujik, --version, forge-47.4.0, --gameDir, V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus, --assetsDir, V:\Minecraft Schenanigans\Curseforge\Install\assets, --assetIndex, 5, --uuid, 9650f2624ceb415cb0e03dca0f42f782, --accessToken, ????????, --clientId, d7bde2-49c390-ec9922-4156d1-d7fa60, --xuid, 2535457944480846, --userType, msa, --versionType, release, --width, 1024, --height, 768, --quickPlayPath, V:\Minecraft Schenanigans\Curseforge\Quickplay\8dacfa6e-cd53-4e94-9869-c2e68476f0eb.json, , , , --launchTarget, forgeclient, --fml.forgeVersion, 47.4.0, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412]
[22:52:11] [main/INFO]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.17 by Eclipse Adoptium; OS Windows 11 arch amd64 version 10.0
[22:52:12] [main/INFO]: Loading ImmediateWindowProvider fmlearlywindow
[22:52:12] [main/INFO]: Trying GL version 4.6
[22:52:12] [main/INFO]: Requested GL version 4.6 got version 4.6
[22:52:12] [main/INFO]: LOADING STAGE 1 - Services Initializing
[22:52:12] [main/INFO]: LOADING STAGE <Services Initializing> elapsed 3 ms
[22:52:12] [main/INFO]: LOADING STAGE 2 - Services Loading
[22:52:12] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/V:/Minecraft%20Schenanigans/Curseforge/Install/libraries/org/spongepowered/mixin/0.8.5/mixin-0.8.5.jar%23100!/ Service=ModLauncher Env=CLIENT
[22:52:12] [main/INFO]: LOADING STAGE <Services Loading> elapsed 65 ms
[22:52:12] [main/INFO]: LOADING STAGE 3 - Mod Scanning
[22:52:12] [pool-2-thread-1/INFO]: GL info: AMD Radeon RX 6600 XT GL version 4.6.0 Core Profile Context 25.12.1.251128, ATI Technologies Inc.
[22:52:12] [main/INFO]: Found mod file balm-forge-1.20.1-7.3.38-all.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file blasmatech-1.20.1-1.1.4-all.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file Bookshelf-Forge-1.20.1-20.2.13.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file Botania-1.20.1-450-FORGE.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file botarium-forge-1.20.1-2.3.4.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file BrandonsCore-1.20.1-3.2.1.302-universal.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file buildinggadgets2-1.0.8.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file carryon-forge-1.20.1-2.1.2.7.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file chloride-FORGE-mc1.20.1-v1.7.5.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file cloth-config-11.1.136-forge.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file CodeChickenLib-1.20.1-4.4.0.516-universal.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file cofh_core-1.20.1-11.0.2.56.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file colorwheel-forge-1.2.0+mc1.20.1.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file colorwheel_patcher-forge-1.0.4+mc1.20.1.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file comforts-forge-6.4.0+1.20.1.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file configuration-forge-1.20.1-3.1.0.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file configured-forge-1.20.1-2.2.3.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file connectivity-1.20.1-7.6.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file constructionwand-1.20.1-2.11.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file Controlling-forge-1.20.1-12.0.2.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file coolcatlib-forge-1.20.1-2001.1.0.0.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file copycats-3.0.4+mc.1.20.1-forge.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file craftingstation-1.20.1-1.2.3.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file craftingtweaks-forge-1.20.1-18.2.6.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file crashexploitfixer-forge-1.1.0+1.20.1.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file create-1.20.1-6.0.8.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file create-new-age-1.1.7e+forge-mc1.20.1.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file create_extra_casing-4.0.4.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file create_hypertube-0.3.0-FORGE.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file create_ratatouille-1.20.1-1.3.7fix1 for Create6.0.7~.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file createaddition-1.20.1-1.3.3.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file createbb-1.20.1-3.2.1.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file createbetterfps-1.20.1-1.1.1.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file createultimine-1.20.1-forge-1.3.0.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file CTM-1.20.1-1.1.10.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file cupboard-1.20.1-2.7.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file doespotatotick-1.20.1-5.5.5.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file Draconic-Evolution-1.20.1-3.1.2.621-universal.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file draconiccodex-0.6.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file duplicationless-1.20.1-1.1.4.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file DynamicTrees-1.20.1-1.4.9.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file DynamicTreesArsNouveau-1.20.1-1.2.0.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file DynamicTreesQuark-1.20.1-2.5.3.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file easy_applied_energestics_start-8.0-forge-1.20.1.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file embeddium-0.3.31+mc1.20.1.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file emi-1.1.22+1.20.1+forge.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file expandedae-1.3.3.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file ExtendedAE-1.20-1.4.9-forge.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file extra_gauges-2.0.7.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file FarmersDelight-1.20.1-1.2.9.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file fastboot-1.20.x-1.2.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file FastSuite-1.20.1-5.1.1.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file ferritecore-6.0.1-forge.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file flerovium-forge-1.20.1-1.2.16-all.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file framework-forge-1.20.1-0.7.15.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file ftb-chunks-forge-2001.3.6.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file ftb-library-forge-2001.2.12.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file ftb-quests-forge-2001.4.17.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file ftb-teams-forge-2001.3.1.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file ftb-ultimine-forge-2001.1.7.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file ftb-xmod-compat-forge-2.1.3.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file functionalstorage-1.20.1-1.2.10.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file fusion-1.2.11c-forge-mc1.20.1.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file fzzy_config-0.7.4+1.20.1+forge.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file geckolib-forge-1.20.1-4.8.2.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file GeckoLibOculusCompat-Forge-1.0.1.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file Glodium-1.20-1.5-forge.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file gravestone-forge-1.20.1-1.0.35.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file gravestonecurioscompat-1.20.x-Forge-3.0.0.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file gtceu-1.20.1-7.4.0.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file gtnihilo-1.2.1.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file gtse-1.2.0.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file guideme-20.1.14.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file Haste Enchantment 1.0.0 - 1.20.1.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file ImmediatelyFast-Forge-1.5.3+1.20.4.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file immersive_optimization-forge-1.20.1-0.1.0.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file infernalmobs-1.20.1.10.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file invtweaks-1.20.1-1.2.2.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file item-filters-forge-2001.1.0-build.59.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file Jade-1.20.1-Forge-11.13.2.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file jei-1.20.1-forge-15.20.0.129.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file jmi-forge-1.20.1-0.14-48.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file journeymap-1.20.1-5.10.3-forge.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file konkrete_forge_1.8.0_MC_1.20-1.20.1.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file kotlinforforge-4.12.0-all.jar of type LIBRARY with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file kubejs-create-forge-2001.3.0-build.8.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file kubejs-forge-2001.6.5-build.16.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file kubejs-mekanism-forge-2001.1.5.1-build.2.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file kubejs_botania-1.4.0-forge.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file kubejsarsnouveau-1.2.2.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file ldlib-forge-1.20.1-1.0.48.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file LibX-1.20.1-5.0.12.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file lithosphere 1.6 17.06.2025 (1.20 - 1.20.4).jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file lmft-1.0.4+1.20.1-forge.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file lootjs-forge-1.20.1-2.13.0.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file lootr-forge-1.20-0.7.35.94.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file mae2-2.0.0-beta.d.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
[22:52:12] [main/INFO]: Found mod file manafluid-1.20.1-1.0.2.jar of type MOD with provider {mods folder locator at V:\Minecraft Schenanigans\Curseforge\Instances\Gregtech Reverberating Nexus\mods}
